sample_idx,true_label,baseline_pred,occluded_pred,flipped_correct_to_wrong
0,0,0,0,False
1,0,0,3,True
2,0,0,0,False
3,0,0,3,True
4,0,0,0,False
5,0,0,0,False
6,0,0,3,True
7,0,0,0,False
8,0,0,0,False
9,0,0,0,False
10,0,0,0,False
11,0,0,3,True
12,0,0,3,True
13,0,0,0,False
14,0,0,0,False
15,0,0,0,False
16,0,0,0,False
17,0,0,3,True
18,0,0,3,True
19,0,0,3,True
20,0,0,0,False
21,0,0,0,False
22,0,0,0,False
23,0,0,3,True
24,0,0,0,False
25,0,0,0,False
26,0,0,3,True
27,0,0,3,True
28,0,0,0,False
29,0,0,0,False
30,0,0,3,True
31,0,0,3,True
32,0,0,0,False
33,0,0,3,True
34,0,0,3,True
35,0,0,3,True
36,0,0,0,False
37,0,0,0,False
38,0,0,0,False
39,0,0,3,True
40,0,0,0,False
41,0,0,0,False
42,0,0,0,False
43,0,0,0,False
44,0,0,0,False
45,0,0,0,False
46,0,0,0,False
47,0,0,0,False
48,0,0,3,True
49,0,0,0,False
50,0,0,0,False
51,0,0,0,False
52,0,0,3,True
53,0,0,0,False
54,0,0,3,True
55,0,0,3,True
56,0,0,3,True
57,0,0,0,False
58,0,0,3,True
59,0,0,0,False
60,0,0,0,False
61,0,0,3,True
62,0,0,0,False
63,0,0,0,False
64,0,0,0,False
65,0,0,3,True
66,0,0,0,False
67,0,0,3,True
68,0,0,0,False
69,0,0,3,True
70,0,0,0,False
71,0,0,3,True
72,0,0,3,True
73,0,0,0,False
74,0,0,0,False
75,0,0,3,True
76,0,0,0,False
77,0,0,0,False
78,0,0,0,False
79,0,0,0,False
80,0,0,3,True
81,0,0,3,True
82,0,0,0,False
83,0,0,0,False
84,0,0,0,False
85,0,0,0,False
86,0,0,3,True
87,0,0,0,False
88,0,0,0,False
89,0,0,3,True
90,0,0,0,False
91,0,0,0,False
92,0,0,0,False
93,0,0,3,True
94,0,0,0,False
95,0,0,0,False
96,0,0,3,True
97,0,0,0,False
98,0,0,3,True
99,0,0,3,True
100,0,0,3,True
101,0,0,0,False
102,0,0,0,False
103,0,0,0,False
104,0,0,3,True
105,0,0,0,False
106,0,0,3,True
107,0,0,0,False
108,0,0,3,True
109,0,0,0,False
110,0,0,0,False
111,0,0,0,False
112,0,0,3,True
113,0,0,3,True
114,0,0,3,True
115,0,0,0,False
116,0,0,3,True
117,0,0,0,False
118,0,0,3,True
119,0,0,0,False
120,0,0,3,True
121,0,0,3,True
122,0,0,3,True
123,0,0,0,False
124,0,0,0,False
125,0,0,0,False
126,0,0,0,False
127,0,0,3,True
128,0,0,0,False
129,0,0,0,False
130,0,0,0,False
131,0,0,0,False
132,0,0,0,False
133,0,0,0,False
134,0,0,0,False
135,0,0,3,True
136,0,0,0,False
137,0,0,3,True
138,0,0,0,False
139,0,0,0,False
140,0,0,3,True
141,0,0,0,False
142,0,0,0,False
143,0,0,3,True
144,0,0,0,False
145,0,0,0,False
146,0,0,3,True
147,0,0,3,True
148,0,0,0,False
149,0,0,0,False
150,0,0,0,False
151,0,0,3,True
152,0,0,0,False
153,0,0,3,True
154,0,0,3,True
155,0,0,0,False
156,0,0,0,False
157,0,0,0,False
158,0,1,0,False
159,0,1,3,False
160,0,0,0,False
161,0,0,0,False
162,0,0,0,False
163,0,0,0,False
164,0,0,3,True
165,0,0,3,True
166,0,0,3,True
167,0,0,0,False
168,0,0,0,False
169,0,0,0,False
170,0,0,3,True
171,0,0,0,False
172,0,0,0,False
173,0,0,0,False
174,0,0,0,False
175,0,0,0,False
176,0,0,3,True
177,0,0,0,False
178,0,0,3,True
179,0,0,0,False
180,0,0,3,True
181,0,0,0,False
182,0,0,0,False
183,0,0,3,True
184,0,0,0,False
185,0,0,3,True
186,0,0,3,True
187,0,0,3,True
188,0,0,0,False
189,0,0,0,False
190,0,0,3,True
191,0,0,3,True
192,0,0,0,False
193,0,0,3,True
194,0,0,3,True
195,0,0,0,False
196,0,0,3,True
197,0,0,3,True
198,0,0,0,False
199,0,0,0,False
200,0,0,3,True
201,0,0,0,False
202,0,0,0,False
203,0,0,3,True
204,0,0,0,False
205,0,0,0,False
206,0,0,0,False
207,0,0,3,True
208,0,0,2,True
209,0,0,0,False
210,0,0,3,True
211,0,0,3,True
212,0,0,3,True
213,0,0,3,True
214,0,0,3,True
215,0,0,0,False
216,0,0,3,True
217,0,0,0,False
218,0,0,3,True
219,0,0,3,True
220,0,0,3,True
221,0,0,0,False
222,0,0,0,False
223,0,0,3,True
224,0,0,3,True
225,0,0,0,False
226,0,0,0,False
227,0,0,0,False
228,0,0,3,True
229,0,0,0,False
230,0,0,2,True
231,0,0,0,False
232,0,0,2,True
233,0,0,0,False
234,0,0,0,False
235,0,0,3,True
236,0,0,0,False
237,0,0,3,True
238,0,0,0,False
239,0,0,0,False
240,0,0,0,False
241,0,0,0,False
242,0,0,3,True
243,0,0,0,False
244,0,0,0,False
245,0,0,0,False
246,0,0,3,True
247,0,0,3,True
248,0,0,3,True
249,0,0,0,False
250,0,0,3,True
251,0,0,0,False
252,0,0,0,False
253,0,0,0,False
254,0,0,3,True
255,0,0,0,False
256,0,0,0,False
257,0,0,0,False
258,0,0,3,True
259,0,0,0,False
260,0,0,0,False
261,0,0,0,False
262,0,0,0,False
263,0,0,0,False
264,0,0,3,True
265,0,0,3,True
266,0,0,0,False
267,0,0,0,False
268,0,0,0,False
269,0,0,0,False
270,0,0,0,False
271,0,0,3,True
272,0,0,0,False
273,0,0,0,False
274,0,0,3,True
275,0,0,0,False
276,0,0,0,False
277,0,0,3,True
278,0,0,3,True
279,0,0,0,False
280,0,0,0,False
281,0,0,0,False
282,0,0,3,True
283,0,0,0,False
284,0,0,0,False
285,0,0,0,False
286,0,0,3,True
287,0,0,0,False
288,0,0,3,True
289,0,0,3,True
290,0,0,0,False
291,0,0,2,True
292,0,0,3,True
293,0,0,3,True
294,0,0,0,False
295,0,0,3,True
296,0,0,0,False
297,0,0,0,False
298,0,0,0,False
299,0,0,0,False
300,0,0,3,True
301,0,0,3,True
302,0,0,3,True
303,0,0,0,False
304,0,0,0,False
305,0,0,0,False
306,0,0,3,True
307,0,0,0,False
308,0,0,0,False
309,0,0,3,True
310,0,0,3,True
311,0,0,0,False
312,0,0,0,False
313,0,0,3,True
314,0,0,0,False
315,0,0,0,False
316,0,0,3,True
317,0,0,0,False
318,0,0,3,True
319,0,0,0,False
320,0,0,0,False
321,0,0,0,False
322,0,0,0,False
323,0,0,3,True
324,0,0,3,True
325,0,0,3,True
326,0,0,0,False
327,0,0,0,False
328,0,0,0,False
329,0,0,3,True
330,0,0,3,True
331,0,0,3,True
332,0,0,3,True
333,0,0,3,True
334,0,0,0,False
335,0,0,0,False
336,0,0,0,False
337,0,0,0,False
338,0,0,0,False
339,0,0,3,True
340,0,0,0,False
341,0,0,3,True
342,0,0,0,False
343,0,0,0,False
344,0,0,0,False
345,0,0,0,False
346,0,0,0,False
347,0,0,3,True
348,0,0,3,True
349,0,0,3,True
350,0,0,0,False
351,0,0,3,True
352,0,0,0,False
353,0,0,0,False
354,0,0,3,True
355,0,0,0,False
356,0,0,0,False
357,0,0,3,True
358,0,0,0,False
359,0,0,0,False
360,0,0,0,False
361,0,0,0,False
362,0,0,0,False
363,0,0,0,False
364,0,0,0,False
365,0,0,0,False
366,0,0,0,False
367,0,0,0,False
368,0,0,3,True
369,0,0,3,True
370,0,0,0,False
371,0,0,3,True
372,0,0,3,True
373,0,0,0,False
374,0,0,3,True
375,0,0,0,False
376,0,0,3,True
377,0,0,0,False
378,0,0,0,False
379,0,0,3,True
380,0,0,0,False
381,0,0,0,False
382,0,0,0,False
383,0,0,0,False
384,0,1,0,False
385,0,0,0,False
386,0,0,0,False
387,0,0,3,True
388,0,0,0,False
389,0,0,3,True
390,0,0,0,False
391,0,0,0,False
392,0,0,3,True
393,0,0,3,True
394,0,0,3,True
395,0,0,0,False
396,0,0,0,False
397,0,0,0,False
398,0,0,0,False
399,0,0,3,True
400,0,0,0,False
401,0,0,3,True
402,0,0,0,False
403,0,0,0,False
404,0,0,3,True
405,0,0,0,False
406,0,0,0,False
407,0,0,0,False
408,0,0,0,False
409,0,0,1,True
410,0,0,3,True
411,0,0,3,True
412,0,0,0,False
413,0,0,3,True
414,0,0,0,False
415,0,0,0,False
416,0,0,3,True
417,0,0,0,False
418,0,0,0,False
419,0,0,0,False
420,0,0,0,False
421,0,0,0,False
422,0,0,3,True
423,0,0,3,True
424,0,0,0,False
425,0,0,3,True
426,0,0,0,False
427,0,0,3,True
428,0,0,0,False
429,0,0,3,True
430,0,0,0,False
431,0,0,3,True
432,0,0,0,False
433,0,0,0,False
434,0,0,0,False
435,0,0,0,False
436,0,0,0,False
437,0,0,3,True
438,0,0,0,False
439,0,0,0,False
440,0,0,0,False
441,0,0,3,True
442,0,0,3,True
443,0,0,3,True
444,0,0,0,False
445,0,0,3,True
446,0,0,3,True
447,0,0,3,True
448,0,0,3,True
449,0,0,0,False
450,0,0,3,True
451,0,0,0,False
452,0,0,3,True
453,0,0,3,True
454,0,0,0,False
455,0,0,3,True
456,0,0,0,False
457,0,0,0,False
458,0,0,0,False
459,0,0,0,False
460,0,0,0,False
461,0,0,0,False
462,0,0,0,False
463,0,0,2,True
464,0,0,0,False
465,0,0,0,False
466,0,0,3,True
467,0,0,0,False
468,0,0,3,True
469,0,0,3,True
470,0,0,0,False
471,0,0,3,True
472,0,0,3,True
473,0,3,3,False
474,0,0,3,True
475,0,0,0,False
476,0,0,3,True
477,0,0,0,False
478,0,0,0,False
479,0,0,0,False
480,0,0,3,True
481,0,0,0,False
482,0,0,3,True
483,0,0,3,True
484,0,0,3,True
485,0,0,3,True
486,0,0,0,False
487,0,0,3,True
488,0,0,0,False
489,0,0,0,False
490,0,0,0,False
491,0,0,0,False
492,0,0,3,True
493,0,0,3,True
494,0,0,3,True
495,0,0,0,False
496,0,0,3,True
497,0,0,2,True
498,0,0,0,False
499,0,0,3,True
500,0,0,0,False
501,0,0,0,False
502,0,0,0,False
503,0,0,0,False
504,0,0,0,False
505,0,0,3,True
506,0,0,3,True
507,0,0,2,True
508,0,0,0,False
509,0,0,0,False
510,0,0,0,False
511,0,0,0,False
512,0,0,0,False
513,0,0,3,True
514,0,0,0,False
515,0,0,0,False
516,0,0,0,False
517,0,0,3,True
518,0,0,0,False
519,0,0,0,False
520,0,0,3,True
521,0,0,3,True
522,0,0,0,False
523,0,0,0,False
524,0,0,3,True
525,0,0,2,True
526,0,0,3,True
527,0,0,0,False
528,0,0,3,True
529,0,0,3,True
530,0,0,0,False
531,0,0,0,False
532,0,0,0,False
533,0,0,0,False
534,0,0,3,True
535,0,0,3,True
