sample_idx,method,y_true,y_pred,pred_confidence,comparison_valid,dice,alignment_score,alignment_grade,edge_focus,threshold,threshold_policy,xai_coverage,clinical_coverage,coverage_delta
1556,SHAP,0,0,0.9995101690292358,True,0.782608695652174,0.782608695652174,strong,0.0,0.46985504031181335,clinical_coverage,0.1564625850340136,0.1564625850340136,0.0
1556,GradCAM,0,0,0.9995101690292358,True,0.6521739130434783,0.6521739130434783,moderate,0.0,0.5812044143676758,clinical_coverage,0.1564625850340136,0.1564625850340136,0.0
1556,IntegratedGradients,0,0,0.9995101690292358,True,0.43478260869565216,0.4,weak,0.08,0.7773018479347229,clinical_coverage,0.17006802721088435,0.1564625850340136,0.013605442176870736
1615,SHAP,0,0,0.9999855756759644,True,0.5,0.5,moderate,0.0,0.3253367841243744,clinical_coverage,0.17687074829931973,0.17687074829931973,0.0
1615,GradCAM,0,0,0.9999855756759644,True,0.6538461538461539,0.6538461538461539,moderate,0.0,0.26961955428123474,clinical_coverage,0.17687074829931973,0.17687074829931973,0.0
1615,IntegratedGradients,0,0,0.9999855756759644,True,0.5882352941176471,0.5656108597285068,moderate,0.038461538461538464,0.8926552534103394,clinical_coverage,0.17687074829931973,0.17687074829931973,0.0
1705,SHAP,0,0,0.8699837923049927,True,0.7222222222222222,0.7222222222222222,moderate,0.0,0.36020371317863464,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
1705,GradCAM,0,0,0.8699837923049927,True,0.7222222222222222,0.7222222222222222,moderate,0.0,0.2795500159263611,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
1705,IntegratedGradients,0,0,0.8699837923049927,True,0.9411764705882353,0.8366013071895424,strong,0.1111111111111111,0.510601818561554,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
2320,SHAP,0,0,0.9964938759803772,True,0.8666666666666667,0.8666666666666667,strong,0.0,0.4547172486782074,clinical_coverage,0.10204081632653061,0.10204081632653061,0.0
2320,GradCAM,0,0,0.9964938759803772,True,0.7333333333333333,0.7333333333333333,moderate,0.0,0.47352269291877747,clinical_coverage,0.10204081632653061,0.10204081632653061,0.0
2320,IntegratedGradients,0,0,0.9964938759803772,True,0.8666666666666667,0.8666666666666667,strong,0.0,0.37966376543045044,clinical_coverage,0.10204081632653061,0.10204081632653061,0.0
3648,SHAP,0,0,0.9999816417694092,True,0.7222222222222222,0.7222222222222222,moderate,0.0,0.2695801854133606,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
3648,GradCAM,0,0,0.9999816417694092,True,0.7222222222222222,0.7222222222222222,moderate,0.0,0.34378522634506226,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
3648,IntegratedGradients,0,0,0.9999816417694092,True,0.7222222222222222,0.7222222222222222,moderate,0.0,0.2789965867996216,clinical_coverage,0.12244897959183673,0.12244897959183673,0.0
7838,SHAP,0,0,0.9999688863754272,True,0.631578947368421,0.5684210526315789,moderate,0.1,0.6410151124000549,clinical_coverage,0.1360544217687075,0.1360544217687075,0.0
7838,GradCAM,0,0,0.9999688863754272,True,0.65,0.65,moderate,0.0,0.20705457031726837,clinical_coverage,0.1360544217687075,0.1360544217687075,0.0
7838,IntegratedGradients,0,0,0.9999688863754272,True,0.45,0.45,weak,0.0,0.7747683525085449,clinical_coverage,0.1360544217687075,0.1360544217687075,0.0
7944,SHAP,0,0,0.9999536275863647,True,0.44,0.4061538461538462,weak,0.07692307692307693,0.6487290263175964,clinical_coverage,0.17687074829931973,0.17687074829931973,0.0
7944,GradCAM,0,0,0.9999536275863647,True,0.0,0.0,minimal,0.07692307692307693,0.0004888511612080038,clinical_coverage,0.17687074829931973,0.17687074829931973,0.0
7944,IntegratedGradients,0,0,0.9999536275863647,True,0.40816326530612246,0.37551020408163266,weak,0.08,0.37657761573791504,clinical_coverage,0.17006802721088435,0.17687074829931973,0.006802721088435382
8160,SHAP,0,0,0.98504638671875,True,0.8125,0.8125,strong,0.0,0.36021849513053894,clinical_coverage,0.10884353741496598,0.10884353741496598,0.0
8160,GradCAM,0,0,0.98504638671875,True,0.8125,0.8125,strong,0.0,0.46322739124298096,clinical_coverage,0.10884353741496598,0.10884353741496598,0.0
8160,IntegratedGradients,0,0,0.98504638671875,True,0.8125,0.8125,strong,0.0,0.4693036377429962,clinical_coverage,0.10884353741496598,0.10884353741496598,0.0
9297,SHAP,0,0,0.999535083770752,True,0.5909090909090909,0.5395256916996048,moderate,0.08695652173913043,0.46331721544265747,clinical_coverage,0.1564625850340136,0.1564625850340136,0.0
9297,GradCAM,0,0,0.999535083770752,True,0.2608695652173913,0.24,minimal,0.08,0.6406117677688599,clinical_coverage,0.17006802721088435,0.1564625850340136,0.013605442176870736
9297,IntegratedGradients,0,0,0.999535083770752,True,0.5777777777777777,0.5777777777777777,moderate,0.0,0.23206937313079834,clinical_coverage,0.14965986394557823,0.1564625850340136,0.006802721088435382
9534,SHAP,0,0,0.9998356103897095,True,0.4482758620689655,0.41839080459770117,weak,0.06666666666666667,0.5151671171188354,clinical_coverage,0.20408163265306123,0.20408163265306123,0.0
9534,GradCAM,0,0,0.9998356103897095,True,0.7666666666666667,0.7666666666666667,strong,0.0,0.3650243878364563,clinical_coverage,0.20408163265306123,0.20408163265306123,0.0
9534,IntegratedGradients,0,0,0.9998356103897095,True,0.4482758620689655,0.41839080459770117,weak,0.06666666666666667,0.41789764165878296,clinical_coverage,0.20408163265306123,0.20408163265306123,0.0
11848,SHAP,0,0,0.9999799728393555,True,0.7241379310344828,0.7241379310344828,moderate,0.0,0.35712844133377075,clinical_coverage,0.20408163265306123,0.19047619047619047,0.013605442176870763
