method_a,method_b,agreement_score,sample_idx
GradCAM,IntegratedGradients,0.4166666666666667,1556
GradCAM,SHAP,0.8695652173913043,1556
IntegratedGradients,SHAP,0.4166666666666667,1556
GradCAM,IntegratedGradients,0.3076923076923077,1615
GradCAM,SHAP,0.5,1615
IntegratedGradients,SHAP,0.5,1615
GradCAM,IntegratedGradients,0.6666666666666666,1705
GradCAM,SHAP,0.9444444444444444,1705
IntegratedGradients,SHAP,0.6666666666666666,1705
GradCAM,IntegratedGradients,0.8,2320
GradCAM,SHAP,0.8,2320
IntegratedGradients,SHAP,1.0,2320
GradCAM,IntegratedGradients,0.9444444444444444,3648
GradCAM,SHAP,0.9444444444444444,3648
IntegratedGradients,SHAP,1.0,3648
GradCAM,IntegratedGradients,0.45,7838
GradCAM,SHAP,0.6,7838
IntegratedGradients,SHAP,0.45,7838
GradCAM,IntegratedGradients,0.5882352941176471,7944
GradCAM,SHAP,0.2692307692307692,7944
IntegratedGradients,SHAP,0.6666666666666666,7944
GradCAM,IntegratedGradients,0.9375,8160
GradCAM,SHAP,1.0,8160
IntegratedGradients,SHAP,0.9375,8160
GradCAM,IntegratedGradients,0.2127659574468085,9297
GradCAM,SHAP,0.5,9297
IntegratedGradients,SHAP,0.7111111111111111,9297
GradCAM,IntegratedGradients,0.5666666666666667,9534
GradCAM,SHAP,0.5,9534
IntegratedGradients,SHAP,0.6666666666666666,9534
GradCAM,IntegratedGradients,0.4642857142857143,11848
GradCAM,SHAP,0.6896551724137931,11848
IntegratedGradients,SHAP,0.6206896551724138,11848
GradCAM,IntegratedGradients,0.2727272727272727,12626
GradCAM,SHAP,0.45454545454545453,12626
IntegratedGradients,SHAP,0.8181818181818182,12626
GradCAM,IntegratedGradients,0.0,12995
GradCAM,SHAP,0.0,12995
IntegratedGradients,SHAP,0.6470588235294118,12995
GradCAM,IntegratedGradients,0.0,13325
GradCAM,SHAP,1.0,13325
IntegratedGradients,SHAP,0.0,13325
GradCAM,IntegratedGradients,0.4375,13785
GradCAM,SHAP,0.3384615384615385,13785
IntegratedGradients,SHAP,0.7384615384615385,13785
GradCAM,IntegratedGradients,0.6190476190476191,14008
GradCAM,SHAP,0.6666666666666666,14008
IntegratedGradients,SHAP,0.9523809523809523,14008
GradCAM,IntegratedGradients,0.7924528301886793,14238
GradCAM,SHAP,0.9615384615384616,14238
IntegratedGradients,SHAP,0.7547169811320755,14238
GradCAM,IntegratedGradients,0.5714285714285714,15213
GradCAM,SHAP,0.8292682926829268,15213
IntegratedGradients,SHAP,0.6976744186046512,15213
GradCAM,IntegratedGradients,0.631578947368421,15544
GradCAM,SHAP,0.6486486486486487,15544
IntegratedGradients,SHAP,0.717948717948718,15544
GradCAM,IntegratedGradients,0.3181818181818182,17668
GradCAM,SHAP,0.36363636363636365,17668
IntegratedGradients,SHAP,0.9090909090909091,17668
GradCAM,IntegratedGradients,0.6153846153846154,18142
GradCAM,SHAP,0.6153846153846154,18142
IntegratedGradients,SHAP,1.0,18142
GradCAM,IntegratedGradients,0.0,18154
GradCAM,SHAP,0.0,18154
IntegratedGradients,SHAP,0.0,18154
GradCAM,IntegratedGradients,0.5833333333333334,18203
GradCAM,SHAP,0.625,18203
IntegratedGradients,SHAP,0.875,18203
GradCAM,IntegratedGradients,0.696969696969697,18206
GradCAM,SHAP,0.7384615384615385,18206
IntegratedGradients,SHAP,0.9230769230769231,18206
GradCAM,IntegratedGradients,0.5365853658536586,18224
GradCAM,SHAP,0.5365853658536586,18224
IntegratedGradients,SHAP,0.6,18224
GradCAM,IntegratedGradients,0.3076923076923077,18309
GradCAM,SHAP,0.38461538461538464,18309
IntegratedGradients,SHAP,0.9230769230769231,18309
GradCAM,IntegratedGradients,0.0,18318
GradCAM,SHAP,0.0,18318
IntegratedGradients,SHAP,1.0,18318
GradCAM,IntegratedGradients,0.7857142857142857,18360
GradCAM,SHAP,0.7857142857142857,18360
IntegratedGradients,SHAP,1.0,18360
GradCAM,IntegratedGradients,0.56,18375
GradCAM,SHAP,0.56,18375
IntegratedGradients,SHAP,0.84,18375
GradCAM,IntegratedGradients,0.2978723404255319,18392
GradCAM,SHAP,0.3829787234042553,18392
IntegratedGradients,SHAP,0.9230769230769231,18392
GradCAM,IntegratedGradients,0.52,18420
GradCAM,SHAP,0.64,18420
IntegratedGradients,SHAP,0.84,18420
GradCAM,IntegratedGradients,0.0,18457
GradCAM,SHAP,0.0,18457
IntegratedGradients,SHAP,1.0,18457
GradCAM,IntegratedGradients,0.4,18488
GradCAM,SHAP,0.64,18488
IntegratedGradients,SHAP,0.76,18488
GradCAM,IntegratedGradients,0.46153846153846156,18496
GradCAM,SHAP,0.6666666666666666,18496
IntegratedGradients,SHAP,0.8,18496
GradCAM,IntegratedGradients,0.6,18526
GradCAM,SHAP,0.6,18526
IntegratedGradients,SHAP,1.0,18526
GradCAM,IntegratedGradients,0.6896551724137931,18531
GradCAM,SHAP,0.4,18531
IntegratedGradients,SHAP,0.7096774193548387,18531
GradCAM,IntegratedGradients,0.8888888888888888,18534
GradCAM,SHAP,0.8888888888888888,18534
IntegratedGradients,SHAP,1.0,18534
GradCAM,IntegratedGradients,0.4074074074074074,18543
GradCAM,SHAP,0.5925925925925926,18543
IntegratedGradients,SHAP,0.8148148148148148,18543
GradCAM,IntegratedGradients,0.6111111111111112,18604
GradCAM,SHAP,0.9444444444444444,18604
IntegratedGradients,SHAP,0.6111111111111112,18604
GradCAM,IntegratedGradients,0.0,18645
GradCAM,SHAP,0.0,18645
IntegratedGradients,SHAP,0.3225806451612903,18645
GradCAM,IntegratedGradients,0.38095238095238093,18813
GradCAM,SHAP,0.38095238095238093,18813
IntegratedGradients,SHAP,1.0,18813
GradCAM,IntegratedGradients,0.65,18904
GradCAM,SHAP,0.6666666666666666,18904
IntegratedGradients,SHAP,0.95,18904
GradCAM,IntegratedGradients,0.0,19020
GradCAM,SHAP,0.0,19020
IntegratedGradients,SHAP,0.8,19020
GradCAM,IntegratedGradients,0.5365853658536586,19090
GradCAM,SHAP,0.65,19090
IntegratedGradients,SHAP,0.7906976744186046,19090
GradCAM,IntegratedGradients,0.0,19123
GradCAM,SHAP,0.0,19123
